集計年,都道府県コード,都道府県名,産業大分類コード,産業大分類名,年齢,所定内給与額（万円）,年間賞与その他特別給与額（万円）,一人当たり賃金（万円）
2010,01,北海道,C,鉱業，採石業，砂利採取業,年齢計,28.85,74.95,421.15
2010,01,北海道,C,鉱業，採石業，砂利採取業,～19歳,18.84,19.88,245.96
2010,01,北海道,C,鉱業，採石業，砂利採取業,20～24歳,21.13,89.56,343.12
2010,01,北海道,C,鉱業，採石業，砂利採取業,25～29歳,25.25,83.94,386.94
2010,01,北海道,C,鉱業，採石業，砂利採取業,30～34歳,24.54,66.53,361.01
2010,01,北海道,C,鉱業，採石業，砂利採取業,35～39歳,31.18,77.33,451.49
2010,01,北海道,C,鉱業，採石業，砂利採取業,40～44歳,27.87,56.76,391.2
2010,01,北海道,C,鉱業，採石業，砂利採取業,45～49歳,35.82,114.88,544.72
2010,01,北海道,C,鉱業，採石業，砂利採取業,50～54歳,33.97,93.54,501.18
2010,01,北海道,C,鉱業，採石業，砂利採取業,55～59歳,30.22,77.57,440.21
2010,01,北海道,C,鉱業，採石業，砂利採取業,60～64歳,20.43,20.18,265.34
2010,01,北海道,C,鉱業，採石業，砂利採取業,65～69歳,17.54,15.08,225.56
2010,01,北海道,C,鉱業，採石業，砂利採取業,70歳～,18,0,216
2010,01,北海道,D,建設業,年齢計,27.91,53.56,388.48
2010,01,北海道,D,建設業,～19歳,16.83,8.04,210
2010,01,北海道,D,建設業,20～24歳,19.09,26.98,256.06
2010,01,北海道,D,建設業,25～29歳,21.46,31.3,288.82
2010,01,北海道,D,建設業,30～34歳,24.95,47.7,347.1
2010,01,北海道,D,建設業,35～39歳,26.53,55.15,373.51
2010,01,北海道,D,建設業,40～44歳,27.32,47.61,375.45
2010,01,北海道,D,建設業,45～49歳,29.46,61.71,415.23
2010,01,北海道,D,建設業,50～54歳,34.1,77.43,486.63
2010,01,北海道,D,建設業,55～59歳,32.87,72.3,466.74
2010,01,北海道,D,建設業,60～64歳,26.28,38.36,353.72
2010,01,北海道,D,建設業,65～69歳,20.66,8.93,256.85
2010,01,北海道,D,建設業,70歳～,20.55,17.16,263.76
2010,01,北海道,E,製造業,年齢計,24,64.95,352.95
2010,01,北海道,E,製造業,～19歳,15.34,15.85,199.93
2010,01,北海道,E,製造業,20～24歳,16.11,27.96,221.28
2010,01,北海道,E,製造業,25～29歳,19.12,48.53,277.97
2010,01,北海道,E,製造業,30～34歳,22.29,61.88,329.36
2010,01,北海道,E,製造業,35～39歳,25.14,73.42,375.1
2010,01,北海道,E,製造業,40～44歳,26.06,73.88,386.6
2010,01,北海道,E,製造業,45～49歳,29.54,89.71,444.19
2010,01,北海道,E,製造業,50～54歳,29.23,90.07,440.83
2010,01,北海道,E,製造業,55～59歳,28.05,82.94,419.54
2010,01,北海道,E,製造業,60～64歳,19.73,34.73,271.49
2010,01,北海道,E,製造業,65～69歳,17.37,20.15,228.59
2010,01,北海道,E,製造業,70歳～,14.41,3.32,176.24
2010,01,北海道,F,電気・ガス・熱供給・水道業,年齢計,41.57,175.37,674.21
2010,01,北海道,F,電気・ガス・熱供給・水道業,～19歳,16.4,25.29,222.09
2010,01,北海道,F,電気・ガス・熱供給・水道業,20～24歳,18.91,54.32,281.24
2010,01,北海道,F,電気・ガス・熱供給・水道業,25～29歳,23.36,85.27,365.59
2010,01,北海道,F,電気・ガス・熱供給・水道業,30～34歳,28.86,112.29,458.61
2010,01,北海道,F,電気・ガス・熱供給・水道業,35～39歳,35.23,140.63,563.39
2010,01,北海道,F,電気・ガス・熱供給・水道業,40～44歳,42.67,179.94,691.98
2010,01,北海道,F,電気・ガス・熱供給・水道業,45～49歳,50.27,226.07,829.31
2010,01,北海道,F,電気・ガス・熱供給・水道業,50～54歳,55.43,248.8,913.96
2010,01,北海道,F,電気・ガス・熱供給・水道業,55～59歳,51.22,217.62,832.26
2010,01,北海道,F,電気・ガス・熱供給・水道業,60～64歳,23.91,83.72,370.64
2010,01,北海道,F,電気・ガス・熱供給・水道業,65～69歳,20.68,62.61,310.77
2010,01,北海道,F,電気・ガス・熱供給・水道業,70歳～,-,-,-
2010,01,北海道,G,情報通信業,年齢計,32.17,89.39,475.43
2010,01,北海道,G,情報通信業,～19歳,16.11,0,193.32
2010,01,北海道,G,情報通信業,20～24歳,19.4,23.15,255.95
2010,01,北海道,G,情報通信業,25～29歳,21.87,37.93,300.37
2010,01,北海道,G,情報通信業,30～34歳,26.67,62.83,382.87
2010,01,北海道,G,情報通信業,35～39歳,32.97,80,475.64
2010,01,北海道,G,情報通信業,40～44歳,40.15,131.31,613.11
2010,01,北海道,G,情報通信業,45～49歳,45.2,156.31,698.71
2010,01,北海道,G,情報通信業,50～54歳,45.37,165.56,710
2010,01,北海道,G,情報通信業,55～59歳,41.6,168.6,667.8
2010,01,北海道,G,情報通信業,60～64歳,26.41,55.15,372.07
2010,01,北海道,G,情報通信業,65～69歳,15.53,41.82,228.18
2010,01,北海道,G,情報通信業,70歳～,28.65,124.05,467.85
2010,01,北海道,H,運輸業，郵便業,年齢計,22.1,52.62,317.82
2010,01,北海道,H,運輸業，郵便業,～19歳,14.66,28.82,204.74
2010,01,北海道,H,運輸業，郵便業,20～24歳,17.63,42.89,254.45
2010,01,北海道,H,運輸業，郵便業,25～29歳,19.6,48.94,284.14
2010,01,北海道,H,運輸業，郵便業,30～34歳,22.01,50.92,315.04
2010,01,北海道,H,運輸業，郵便業,35～39歳,23.34,55.58,335.66
2010,01,北海道,H,運輸業，郵便業,40～44歳,23.48,55.09,336.85
2010,01,北海道,H,運輸業，郵便業,45～49歳,26.22,76.87,391.51
2010,01,北海道,H,運輸業，郵便業,50～54歳,25.12,65.19,366.63
2010,01,北海道,H,運輸業，郵便業,55～59歳,22.99,58.8,334.68
2010,01,北海道,H,運輸業，郵便業,60～64歳,16.46,22.69,220.21
2010,01,北海道,H,運輸業，郵便業,65～69歳,15.29,16.86,200.34
2010,01,北海道,H,運輸業，郵便業,70歳～,14.19,10.18,180.46
2010,01,北海道,I,卸売業，小売業,年齢計,27.16,63.89,389.81
